,,,,,National Accounts,National accounts,National accounts,National accounts,National accounts,,Government Finance,Government finance,Government finance,,Prices (CPI),Prices,,Balance of Payments,Balance of Payments
IMF Code,ISO Code,Country,Currency,,Historical Data Source 1/,Latest Actual Data,Base Year 2/,Reporting Period 3/,Use of Chain-Weighted Methodology 4/,,Historical Data Source 1/,Latest Actual Data,Reporting Period 3/,,Historical Data Source 1/,Latest Actual Data,,Historical Data Source 1/,Latest Actual Data
968,ROM,Romania,Romanian leu,,NSO and Eurostat,2013,2005,,From 2000,,MoF,2013,,,NSO,2013,,CB,2013
922,RUS,Russia,Russian ruble,,NSO,2013,2008,,From 1995,,MoF,2013,,,NSO,2013,,CB,2013
714,RWA,Rwanda,Rwanda franc,,MoF,2012,2006,,,,MoF,2012,,,MoF,2012,,CB,2012
862,WSM,Samoa,Samoa tala,,NSO,2012/13,2002,Jul/Jun,,,MoF,2010/11,Jul/Jun,,NSO,2013,,CB,2011/12
135,SMR,San Marino,Euro,,NSO,2011,2007,,,,MoF,2012,,,NSO,2012,,…,…
716,STP,São Tomé and Príncipe,São Tomé and Príncipe dobra,,NSO,2010,2000,,,,MoF and Customs,2012,,,NSO,2013,,CB,2012
456,SAU,Saudi Arabia,Saudi Arabian riyal,,NSO and MEP,2013,1999,,,,MoF,2013,,,NSO,2013,,CB,2012
722,SEN,Senegal,CFA franc,,NSO,2011,2000,,,,MoF,2011,,,NSO,2011,,CB and IMF staff,2011
942,SRB,Serbia,Serbian dinar,,NSO,2012,2010,,From 2010,,MoF,2013,,,NSO,2013,,CB,2012
718,SYC,Seychelles,Seychelles rupee,,NSO,2011,2006,,,,MoF,2012,,,NSO,2012,,CB,2012
724,SLE,Sierra Leone,Sierra Leonean leone,,NSO,2012,2006,,From 2010,,MoF,2012,,,NSO,2012,,CB,2012
576,SGP,Singapore,Singapore dollar,,NSO,2013,2005,,From 2005,,MoF,2011/12,Apr/Mar,,NSO,2013,,NSO,2013
936,SVK,Slovak Republic,Euro,,Haver Analytics,2013,2005,,From 1993,,Haver Analytics,2013,,,Haver Analytics,2013,,IFS,2013
961,SVN,Slovenia,Euro,,NSO,2013,2000,,From 2000,,MoF,2013,,,NSO,2013,,NSO,2013
813,SLB,Solomon Islands,Solomon Islands dollar,,CB,2011,2004,,,,MoF,2012,,,NSO,2012,,CB,2012
199,ZAF,South Africa,South African rand,,CB,2012,2005,,,,MoF,2012/13,,,NSO,2013,,CB,2012
733,SSD,South Sudan,South Sudanese pound,,NSO,2011,2010,,,,MoF,2012,,,NSO,2013,,Other,2011
184,ESP,Spain,Euro,,NSO,2013,2008,,From 1995,,MoF and Eurostat,2012,,,NSO,2013,,CB,2013
524,LKA,Sri Lanka,Sri Lanka rupee,,CB,2012,2002,,,,MoF,2011,,,NSO,2012,,CB,2011
361,KNA,St. Kitts and Nevis,Eastern Caribbean dollar,,NSO,2013,2006 5/,,,,MoF,2013,,,NSO,2013,,CB,2013
