Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980]
Spain,ESP,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,347235438841.784,340340867183.298,316867449431.405,298064594279.482,293905166104.839,267063429920.874,252319498983.558,262701558055.301,293082469403.399,316864577889.69,330591983059.783,405671312748.57,423500715259,407547865259.533,379090886860.7,355996512615.229,339841218924.832,320943602896.303,309349753220.694,298076080446.343,278451964363.838,251940455477.135,225690256886.526,214024618668.034,209628288301.877,194832991226.357,188300670298.342,212890158682.562,220968704320.318,217816206656.257,205015346057.967,183801389418.608,160052567843.882,141765931181.893,126498831187.92,120313929477.417,122428462443.807,125192795149.187,123389222870.919,134999853836.313
Spain,ESP,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,Real effective exchange rate index (2010 = 100),PX.REX.REER,96.1153829450662,95.6823104875646,97.4690429529968,95.4919265972807,94.3267391234326,93.7033039917739,99.1422310303131,99.6884238717053,97.9744881002622,100.39914295434,100,103.785439985632,103.916751059918,102.021545502587,100.46085205024,99.1279372641564,98.6957258989119,96.7493999319431,92.1671112239081,90.094461482528,88.4435226835002,90.366612105736,90.9685386268402,90.478290682065,94.6482722936953,92.7634485076572,91.122218070609,95.5331562194147,107.329240864374,107.8889195815,107.283152462308,100.339611973342,94.5830085961764,90.3154563443623,86.7765290428053,81.5611430564582,80.0537134754753,77.7199221080444,88.5965674539544,88.7704450768474,94.0915927791671
Sri Lanka,LKA,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,28089129555.1361,31043118538.9501,29773698336.6277,27914708130.6987,26590573978.7233,25618980186.85,22970212863.2436,25195238929.7391,20702935491.8335,17217667405.7728,14302602991.6709,13891719333.5608,13488872204.3913,12627064426.932,11078654425.0885,10190223794.1365,9369943474.48366,8366526691.30441,7460375434.70332,9039536209.63346,8224637821.39713,7734267575.98359,6715945376.56466,6571462247.26735,6324911611.32277,6377161545.845,5833770517.30403,5274867931.69637,5176067397.89542,4765101120.51949,4901976816.46219,5266547836.78143,5612996240.54502,5641258863.17581,5171003611.91565,5412082994.40204,5284622085.7769,4710609850.86561,4492649143.17933,5341750139.75145
Sri Lanka,LKA,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,8.32354431836197,11.4104489361823,17.4045049056201,16.1861322324137,17.0348928652722,14.506698090753,16.2285338754895,17.6277361444479,49.9832185268453,15.7935506395363,18.6100619614446,8.45751130560778,16.5601342075629,17.830628514143,19.0568024360981,19.6148133698525,15.318795004552,13.3575243836281,13.5921372119646,12.864804036244,13.3895676165501,13.2086345683031,15.5937224910352,11.2604103349616,35.8322124762185,19.6672925694495,23.3064272567731,16.8034061463075,21.8717139282149,19.8699034108183,8.35130357181116,14.8626234354723,15.4393494037969,4.23507812577114,12.788592778306,16.0166461732401,20.9227357208678,25.3656588124263,19.8725983091345,28.7102211964304
Sri Lanka,LKA,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,6.92050733710494,7.76777243828707,6.46114882944872,7.63399994134906,5.79321559152721,4.58062766766895,4.43016041536855,4.06887518877382,4.20972411003613,2.57074405485879,2.93506075817354,5.37201274435836,3.60726731084665,4.09296414090769,3.71916544562564,3.84847964976664,3.18674332280479,3.81619069522543,4.52695881539341,5.54855297467116,3.66650508522205,2.93373147728797,2.76957107830124,2.63148109857114,2.39696526020116,1.86733963076093,1.99733165764293,3.0139640397443,3.698828306826,5.07772665559214,7.81000547447273,8.88459039860534,6.68939584461671,4.99590881706161,3.95373820439595,3.32994810749519,5.12607444485743,4.0458908281332,3.76476522551985,4.56058088462064
Sri Lanka,LKA,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Kitts and Nevis,KNA,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Kitts and Nevis,KNA,Broad money growth (annual %),FM.LBL.BMNY.ZG,-8.12324957086264,-15.1175872982392,-2.57396168531748,-2.46606256199916,-0.439056633860097,4.85679116978138,10.6916567658012,11.0358533067774,11.9737601465883,9.66290072614756,6.41492283315476,4.87086708437345,0.232705450301432,11.1855336631594,14.511875273236,6.8196375591817,16.4150650631904,9.53825866290841,5.491847973826,4.96626437370586,24.0992895245656,6.47737902643794,11.9505439752834,11.4193254009676,5.18136254540773,16.6243209171781,6.4895691870649,10.397007547811,17.2519981134883,7.38769629112025,10.1247927080972,23.6136253866659,25.3079233785925,-6.92684442316574,19.8238906111431,26.270453220175,2.00147323294998,15.1026986564006,12.0519360471088,20.8956768278802,12.9892905579198
