Date,MYR,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Deposit Interest Rate %,Lending Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),REED 12mth std dev,Trade Openness,Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,MYR_30_ave,MYR_60_ave,MYR_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,MYR_classifier
1982-03-23,2.334,0.9844738167520922,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.32015,2.29095,2.27685,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-24,2.331,0.9873494423939864,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.320866666666667,2.292333333333333,2.27755,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-25,2.3355,0.989932495087353,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3212833333333336,2.2938916666666667,2.278466666666666,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-26,2.336,0.9922222094179324,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3218166666666664,2.2954250000000003,2.279455555555556,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-29,2.3365,0.9973249731081556,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3224666666666667,2.2969666666666666,2.2803944444444446,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-30,2.337,0.9984354211555644,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.322566666666667,2.29855,2.2813388888888886,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-03-31,2.339,0.9992500112396836,2.325899999,47.4966207531058,10.0,12.3,1138484028.17769,1047336515.34775,26804401815.5348,-35.196620753105805,11.624956309206222,3.0069821425018497,0.0815470741920688,9739230966.85793,18.3213789357657,7.198066795990177,2.3227333333333333,2.3001666666666667,2.2823277777777777,0,0,1,0,0,0,0,0,0,0,0,0,Small deppreciation
1982-06-01,2.304,0.5160623910158528,2.3404,47.993533960222,9.5,12.3,1069475303.36695,964792343.189198,26804401815.5348,-35.693533960222,11.628687039729074,2.688306300326865,0.0758930440065692,9739230966.85793,18.3213789357657,7.198066795990177,2.3021,2.320266666666667,2.314711111111111,0,0,0,0,0,1,0,0,0,0,0,0,Small deppreciation
1982-06-02,2.31,0.5012418134457758,2.3404,47.993533960222,9.5,12.3,1069475303.36695,964792343.189198,26804401815.5348,-35.693533960222,11.628687039729074,2.688306300326865,0.0758930440065692,9739230966.85793,18.3213789357657,7.198066795990177,2.301083333333333,2.320066666666667,2.315211111111111,0,0,0,0,0,1,0,0,0,0,0,0,Small deppreciation
1982-06-03,2.3015,0.4862727071086899,2.3404,47.993533960222,9.5,12.3,1069475303.36695,964792343.189198,26804401815.5348,-35.693533960222,11.628687039729074,2.688306300326865,0.0758930440065692,9739230966.85793,18.3213789357657,7.198066795990177,2.2999333333333336,2.3197666666666663,2.3154944444444445,0,0,0,0,0,1,0,0,0,0,0,0,Small deppreciation
