Date,KRW,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Lending Interest Rate %,Deposit Interest Rate %,Exports(USD),Imports (USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,KRW_30_ave,KRW_60_ave,KRW_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,KRW_classifier
1996-08-12,814.8,-0.6471606673266059,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,813.3466666666667,803.4483333333333,795.501111111111,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-13,817.0,-0.6601521206712315,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,813.5833333333334,804.0616666666666,795.9111111111112,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-14,821.4,-0.6729490241558326,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,813.87,804.735,796.37,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-15,821.4,-0.6855476064742154,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,814.3833333333333,805.4233333333334,796.821111111111,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-16,820.1,-0.6979441547663433,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,814.5966666666666,806.065,797.2422222222223,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-19,819.5,-0.7338853664321993,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,814.7733333333332,806.6966666666666,797.6566666666668,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-20,819.9,-0.7454378568683003,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,815.0933333333334,807.3349999999999,798.0688888888889,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-21,818.9,-0.7567706633464625,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,815.35,807.8700000000001,798.4699999999999,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-22,819.3,-0.7678804460366,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,815.5733333333334,808.3866666666667,798.8855555555555,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-23,818.4,-0.7787639308347605,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,815.7199999999999,808.8883333333332,799.2933333333334,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-26,818.2,-0.8100248628547748,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,815.87,809.3916666666667,799.7188888888888,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-27,819.1,-0.8199717629247767,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,816.0566666666667,809.9466666666667,800.1633333333333,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-28,819.5,-0.8296770135526185,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,816.2566666666667,810.4950000000001,800.6144444444443,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-29,819.8,-0.8391377545563938,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,816.4366666666666,811.0416666666666,801.0655555555555,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
1996-08-30,819.3,-0.8483511978123038,816.81,63.743221537321,11.03,10.41,9687000000.0,12958000000.0,610169556840.077,-52.713221537321,5.3626077593012464,0.037112634916224,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,816.61,811.58,801.5144444444445,0,0,0,0,0,0,0,1,0,0,0,0,Small deppreciation
