Date,MXN,sin_DoY,Inflation (CPI) %,Deposit Interest Rate %,Lending Interest Rate %,Exports(USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),REED 12mth std dev,Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,MXN_30_ave,MXN_60_ave,MXN_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,MXN_classifier
1997-04-09,7.891,0.9932568492674143,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.9443166666666665,7.873283333333333,7.872066666666667,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-10,7.9091,0.9911140639934547,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.9466866666666665,7.8750350000000005,7.872223333333333,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-11,7.923,0.9886775902323405,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.945286666666666,7.876918333333334,7.87259,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-14,7.91,0.9796136916454901,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.942786666666667,7.878418333333332,7.872923333333333,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-15,7.881,0.9760105506323683,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.939753333333333,7.879301666666667,7.873045555555556,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-16,7.889,0.9721181966290613,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.93442,7.880785,7.873034444444445,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-17,7.888,0.9679377830240642,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.93022,7.882268333333333,7.872678888888889,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-18,7.875,0.9634705485641488,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.925953333333333,7.883601666666666,7.872345555555555,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-21,7.872,0.9483615800121715,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.9232700000000005,7.884385,7.872256666666667,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-22,7.87,0.9427611433904207,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.9197033333333335,7.8850516666666675,7.871923333333334,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
