Date,TRY,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Deposit Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Foreign Exchange Reserves(%),Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,TRY_30_ave,TRY_60_ave,TRY_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,TRY_classifier
2006-02-01,1.3233,0.5086709438521044,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3376433333333333,1.347835,1.3498655555555554,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-02,1.327,0.5234156073655503,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3368933333333333,1.347285,1.3496322222222223,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-03,1.324,0.5380051715382996,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3359833333333333,1.346645,1.349376666666667,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-06,1.33,0.5808002734538009,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.33515,1.3461283333333334,1.3491722222222222,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-07,1.331,0.5947266869607634,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3344999999999998,1.3455866666666667,1.3489111111111112,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-08,1.3339,0.6084768701151261,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.333953333333333,1.3450683333333335,1.3487822222222223,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-09,1.331,0.6220467484408675,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3333800000000002,1.3445183333333333,1.348666666666667,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-10,1.3285,0.6354323008901774,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3326866666666668,1.3439683333333332,1.348438888888889,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-13,1.329,0.6744436188329455,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3319366666666668,1.3434099999999998,1.3481666666666663,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-14,1.3286,0.6870527672236669,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3313866666666667,1.3429616666666668,1.3478677777777777,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
