Date,TRY,Yr,DoM,MoY,sin_DoY,cos_DoY,Ave Monthly USD FX Rate,@OBS_STATUS_x,Inflation (CPI) %,@OBS_STATUS_y,Deposit Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Foreign Exchange Reserves(%),M2 Multiplier Growth (%),M2/Reserves,Domestic Credit to GDP,Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Total Debt(USD),Short Term Debt(USD),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,TRY_30_ave,TRY_60_ave,TRY_90_ave,TRY_90d_change,TRY_classifier
2005-09-07,1.3351,2005,7,9,-0.9106046300942162,-0.41327860778290443,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3416166666666667,1.3432749999999998,1.3513199999999999,-0.0019474196689386325,Small Appreciation
2005-09-08,1.3357,2005,8,9,-0.9175836260593934,-0.3975428142825566,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3414233333333334,1.3426283333333333,1.3509833333333332,0.005839634648498793,Small deppreciation
2005-09-09,1.3365,2005,9,9,-0.9242907221930934,-0.3816892202666586,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3415566666666665,1.342095,1.3508277777777777,-0.0007482229704453003,Small Appreciation
2005-09-12,1.335,2005,12,9,-0.9427611433904206,-0.33346877891818705,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3418733333333333,1.3417533333333334,1.3507777777777779,0.0003745318352059712,Small deppreciation
2005-09-13,1.3405,2005,13,9,-0.9483615800121716,-0.31719128858910595,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3425399999999998,1.3413866666666665,1.3506555555555555,-0.0029839612085043044,Small Appreciation
2005-09-14,1.3415,2005,14,9,-0.9536809966304455,-0.300819807635668,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3431233333333334,1.341103333333333,1.3504666666666665,-0.012448751397689084,Small Appreciation
2005-09-15,1.3415,2005,15,9,-0.9587178169872964,-0.2843591872810036,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3440566666666667,1.3409033333333333,1.3502111111111113,-0.01490868430860981,Small Appreciation
2005-09-16,1.3434,2005,16,9,-0.9634705485641486,-0.26781430516217486,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3450533333333332,1.3407349999999998,1.3499211111111111,-0.014813160637189293,Small Appreciation
2005-09-19,1.3445,2005,19,9,-0.9760105506323682,-0.21772323039653224,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3459866666666664,1.3406516666666666,1.34971,-0.015247303830420167,Small Appreciation
2005-09-20,1.343,2005,20,9,-0.9796136916454901,-0.20089055513063528,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.34676,1.340518333333333,1.3493988888888888,-0.013402829486224843,Small Appreciation
