Date,INR,sin_DoY,Inflation (CPI) %,Ave Monthly USD FX Rate,Lending Interest Rate %,Exports(USD),Imports (USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),Domestic Credit to GDP,Trade Openness,FDI(%GDP),Current Account(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,INR_30_ave,INR_60_ave,INR_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,INR_classifier
1981-02-24,8.31,0.8013610881746766,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.092,8.004,7.916666666666667,0,1,0,0,0,0,0,0,0,0,0,0,Small deppreciation
1981-02-25,8.33,0.8115390590073611,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.105333333333332,8.0125,7.92311111111111,0,1,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-02-26,8.32,0.8214765533024142,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.116333333333333,8.020833333333334,7.929666666666668,0,1,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-02-27,8.33,0.8311706263658079,10.4509142586452,8.18263651241827,16.5,673132674.492,1292248529.426,193490610032.1,6.0490857413548,3.095240641913541,0.3600549389665162,0.0101575017185172,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.128333333333334,8.028666666666668,7.936333333333333,0,1,0,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-02,8.33,0.8587639582758029,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.140666666666666,8.0365,7.943,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-03,8.25,0.8674563547295969,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.15,8.042,7.948777777777778,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-04,8.19,0.8758917051442429,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.157333333333334,8.0465,7.954,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-05,8.23,0.8840675099433636,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.168333333333333,8.051666666666668,7.959666666666667,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-06,8.23,0.8919813464595485,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.178333333333333,8.056999999999999,7.965333333333334,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-09,8.26,0.9141279881853336,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.189333333333334,8.062666666666667,7.971333333333333,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
